codigo de articulo ;Descripcion;codigo de barras ;Proveedor;Departamento;Categoria;Marca
50109;CH.MOET BRUT IMPERIAL X750;3,18537E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;Moett
5789;SUPREMA C/ES-Q G/DEL SOL X400G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;FRIOS Y CONGELADOS;GRANJA DEL SOL
50108;CH.DOM PERIGNON;3,18537E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;Dom Perignon
62008;CROQUETAS ESPIN.G/DEL SOL X400;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
54920;VERTEDORA OVALADA TOPF;7,79073E+12;COLOMBRARO HNOS;HOGAR;BAZAR;COLOMBRARO
9059;CH.CHANDON DEMISEC X750;7,79098E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;CHANDON
20245;CROQUETA-PAPA G/DEL SOL X400G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
55948;VERTEDORA OVALADA C/DIVISION;7,79073E+12;COLOMBRARO HNOS;HOGAR;BAZAR;COLOMBRARO
9060;CH.MERCIER E/BRUT X750;7,79098E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;MERCIER
72802;MEDALLONES DE POLLO LUCCH.X280;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;LUCCHETTI
9062;CH.MERCIER DEMISEC X750;7,79098E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;MERCIER
18779;CHIC.T/LINE MINT-C X6.7G.;77936134;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;TOP LINE
5806;MEDALLON G/DEL SOL POLLO X330;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;GRANJA DEL SOL
3010;ALF.ARROZ LULEMUU INTEGRAL DDL;77933614;SPARAPANI GUILLERMO;ALMACEN;GOLOSINAS Y CHOCOLATES;LULEMU
78901;CH.BARON B EXTRA BRUT;7,79098E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;CHANDON
27992;CHOC.PELOTA G.MUNDIAL 12X22G;7,79058E+12;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;ARCOR
69933;SUPREMITAS DE PO.G/DE SOL X480;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;GRANJA DEL SOL
24719;CH.MERCIER ROSE X750;7,79098E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;MERCIER
71487;MILANESAS MIX LEGUMB.GDS X330G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;GRANJA DEL SOL
21182;MILA.LUC. SOJA CRUNCH X560G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;FRIOS Y CONGELADOS;TC
9000;CH.LOS HAROLDOS E/BRUT X750;7,79184E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;LOS HAROLDOS
57303;MIL.SOJA NAP GRANJA DEL SOL X4;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;GRANJA DEL SOL
15696;CH.MUMM DEMISEC X750;7,79156E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;MUMM
60878;SORBITO BB C/TETINA TATIN240CC;7,79258E+12;Distribuidora Veneto S.A.;HOGAR;BAZAR;YESI
58693;MILANESA DE SOJA LUCCH.X290G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;LUCCHETTI
73531;VEGGIES QUIN/ESPIN.GDS.X440G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
30612;MEJILLONES NAT.CRUSOE 12X213G;84773601268;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
73621;VEGGIES CALAB/GARBNZ.GDS.X440G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
33734;MEJILLONES NAT.CRUSOE 24X100G;84773611502;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
73620;VEGGIES LENTEJAS Y ARROZ X440G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
1688;BARRA CEREAL SER MANZANA X23G;77936264;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;SER
30613;MEJILLONES ACEI.CRUSOE 24X100G;84773611519;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
9074;STRAWBERRY FIZZ REAL X720ML;7,79012E+12;ODA VINOTECA;BEBIDAS;SIDRAS;REAL
73619;VEGGIES CEBOLLA Y ARROZ X440G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
1687;BARRA CEREAL SER FRUTI X23G;77936271;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;SER
9075;CLERICO FIZZ REAL X720CC;7,79012E+12;ODA VINOTECA;BEBIDAS;SIDRAS;REAL
78924;VEGETALES ESP.G/DEL SOL X500G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
61793;ACELGA GRANJA DEL SOL X500G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
9078;CH.NORTON E/BRUT X750;7,79232E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NORTON
23152;CHOC.COFLER LECHE-CROC X100G;7,79058E+12;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;COFLER
78925;VEGETALES BROC.G/DEL SOL X500G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
