codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
32126;7795865000045;Rejilla Coche Chica Notte 551;LIMPIEZA;ACCESORIOS DE LIMPIEZA
24050;7792387001789;GUANTES BROOMY MOTEADOS;LIMPIEZA;COCINA
55338;7793253099305;POETT FRAG.SEDO PRIMAVERA X100;LIMPIEZA;Aromatizantes
55339;7793253099329;POETT FRAG.SUAV.BEBE X100ML;LIMPIEZA;Aromatizantes
24497;7793253099961;LAVANDINA AYUDIN ULTRA X1L;LIMPIEZA;LAVANDINAS
24498;7793253099978;LAVANDINA AYUDIN ULTRA 8X2L;LIMPIEZA;LAVANDINAS
61843;7798084050693;LAVA PARABRISAS K78 L/USAR X5L;LIMPIEZA;ACCESORIOS DE LIMPIEZA
74114;7790900016357;AIRE PUR FRESH MANG Y LIM  X2U;LIMPIEZA;Aromatizantes
31381;7790900015787;AIRE PUR ESPRIT FLOR ROSA X8ML;LIMPIEZA;Aromatizantes
31260;7790900015794;AIRE PUR ESPRIT FLOR LIMO X8ML;LIMPIEZA;Aromatizantes
30896;7790900015619;AIRE PUR AUTO ANTITAB.REP X8ML;LIMPIEZA;Aromatizantes
16713;7791199002526;REPELENTE FUSH X200GR;LIMPIEZA;INSECTICIDAS
23483;23483;ANILINA COLORES VARIOS;LIMPIEZA;CUIDADO PARA LA ROPA
23710;7795815050168;ANILINA COLIBRI - AZUL ELECTRI;LIMPIEZA;CUIDADO PARA LA ROPA
23721;7795815050151;ANILINA COLIBRI - AZUL BRILLTE;LIMPIEZA;CUIDADO PARA LA ROPA
23704;7795815050243;ANILINA COLIBRI - GRANATE;LIMPIEZA;CUIDADO PARA LA ROPA
77553;3333325250605;TRAPO PISO E.T NIDO ABEJ 60X60;LIMPIEZA;ACCESORIOS DE LIMPIEZA
60375;7798071005958;BOLSA 45 X 60;LIMPIEZA;ACCESORIOS DE LIMPIEZA
60376;7798071005965;BOLSA MAXI BAG 50X70;LIMPIEZA;ACCESORIOS DE LIMPIEZA
28592;7798126371472;BOLSA GIGANTE LA PORTEÑA;LIMPIEZA;ACCESORIOS DE LIMPIEZA
68627;68627;"BOLSA CONS.BCO.90X120X30""X10UN";LIMPIEZA;ACCESORIOS DE LIMPIEZA
60377;7798071005934;BOLSA 80X110 MEGA BAG CONSORC;LIMPIEZA;ACCESORIOS DE LIMPIEZA
60378;7798071005989;BOLSA 90X120 MEGA BAG CONSORC;LIMPIEZA;ACCESORIOS DE LIMPIEZA
28591;7798126371465;BOLSA CANASTA LA PORTEÑA;LIMPIEZA;ACCESORIOS DE LIMPIEZA
68626;68626;"BOLSA CONS.NGO.90X120X30""X10UN";LIMPIEZA;ACCESORIOS DE LIMPIEZA
18505;18505;BOLSA CONSORCIO 80X110X25;LIMPIEZA;ACCESORIOS DE LIMPIEZA
60914;60914;BOLSA INSTITUC.COLOR 90X120;LIMPIEZA;ACCESORIOS DE LIMPIEZA
50580;7792449000460;BOLSA RESID.POLIABI 60X90 X50U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
50582;50582;BOLSA RESID.POLIABI 90X120 20U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
62481;7791625008764;BOLSA RESIDUO ECO 80X100CMX10U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
62485;7791625008719;BOLSA RESIDUO ECOO 45X60CMX30U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
62486;7791625008740;BOLSA RESIDUO ECOO 50X70CMX10U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
62474;7791625008757;BOLSA RESIDUO ECOO 60X90CMX10U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
50583;7792449000590;BOLSA RESID.NUVIA 45X60 X25U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
60913;7798071006085;BOLSA RESID.MAXI BAG 60X90X10U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
31098;852600002157;BOLSA RESIDUO ROSARIO 45X60X30;LIMPIEZA;ACCESORIOS DE LIMPIEZA
34077;7791625008221;BALDE EXTRALIMP PLASTICO X11L;LIMPIEZA;ACCESORIOS DE LIMPIEZA
27779;7790122000134;BROCHES ESTRELLA PLASTICO X12;LIMPIEZA;ACCESORIOS DE LIMPIEZA
27778;7790122000127;BROCHES ESTRELLA MADERA X12;LIMPIEZA;ACCESORIOS DE LIMPIEZA
15626;7798069222695;BARREDOR GDE RVK X12;LIMPIEZA;ACCESORIOS DE LIMPIEZA
24049;7793821980394;ESPONJA BAÑO INFANTIL KEKOSA;LIMPIEZA;BAÑO
21613;7792387000201;ESPONJA YAMAL BAÑO RECTANGULAR;LIMPIEZA;BAÑO
16847;7791130143813;AIR WICK AERO ACQ-MARINE X346;LIMPIEZA;Aromatizantes
13898;7501058767707;AIR WICK AUTO ANTI TABACO;LIMPIEZA;Aromatizantes
58964;7791290790605;ALA LAV A MANO CORE SUAVI X3KG;LIMPIEZA;CUIDADO PARA LA ROPA
75816;779006400166;ALGODON ESTRELLA CLASICO X500G;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23709;7795815050144;ANILINA COLIBRI - AZUL TURQUES;LIMPIEZA;CUIDADO PARA LA ROPA
23715;7795815050045;ANILINA COLIBRI - BEIGE;LIMPIEZA;CUIDADO PARA LA ROPA
23698;7795815050311;ANILINA COLIBRI - BORDEAUX;LIMPIEZA;CUIDADO PARA LA ROPA
