codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
78100;7791843023082;ACEITE OLIVA BRESSANO;ALMACEN;ACEITES Y VINAGRES
1900;7790336060030;ACEITE OLIVA MARILEN LATA X500;ALMACEN;ACEITES Y VINAGRES
22907;7790580109608;BUTTER TOFFES AVELLANAS X959;ALMACEN;GOLOSINAS Y CHOCOLATES
15207;7797599231306;CEREAL NUTRIRINGS ZIPPER X 397;ALMACEN;DESAYUNO
24966;7613031599578;CHOC.NESTLE GOLD NOIR X100G;ALMACEN;GOLOSINAS Y CHOCOLATES
5094;7790171000208;FLAN KEKSY CHOCOLATE X170G;ALMACEN;REPOSTERIA Y POSTRES
1730;7790040057098;GALL.SNACKS REX QUESOS X 50G;ALMACEN;DESAYUNO
24653;7790171000116;GELAT.KEKSY FRUTILLA X170;ALMACEN;REPOSTERIA Y POSTRES
25387;7795921000361;HELADO GELFRI LIGHT VAIN X40;ALMACEN;REPOSTERIA Y POSTRES
21111;7792260639962;HIGOS EN ALMIBAR AL CARAM 650G;ALMACEN;REPOSTERIA Y POSTRES
26032;7798087170091;MERM.STEVIA DULCE ANANA X454G;ALMACEN;DESAYUNO
26030;7798087170107;MERM.STEVIA DULCE MAMON X454G;ALMACEN;DESAYUNO
26031;7798087170114;MERM.STEVIA DULCE ZAPALL X454G;ALMACEN;DESAYUNO
5198;7795642000084;MIEL LA MISIONERITA X 1KG;ALMACEN;DESAYUNO
5200;7795642000060;MIEL LA MISIONERITA X250G;ALMACEN;DESAYUNO
5194;7795642000077;MIEL LA MISIONERITA X500G;ALMACEN;DESAYUNO
25955;7796989004438;PAN DULCE BIMBO C/CHIPS X500G;ALMACEN;REPOSTERIA Y POSTRES
25430;7796989004063;PAN DULCE BIMBO C/FRUTAS X500G;ALMACEN;REPOSTERIA Y POSTRES
50940;7790150367483;SALSA BLANCA ALICANTE X1,5K;ALMACEN;ACEITES Y VINAGRES
23826;7790411000173;TE ROSAMONTE ENSOBRADOS 20X25U;ALMACEN;DESAYUNO
25388;7795921000194;VAINILLA LIQ.GELFRI 24X100;ALMACEN;REPOSTERIA Y POSTRES
76566;7798316700815;ACEITE LEGITIMO GIRASOL X 1,5;ALMACEN;ACEITES Y VINAGRES
76740;7798316700808;ACEITE LEGITIMO GIRASOL X 900M;ALMACEN;ACEITES Y VINAGRES
18146;7798089051015;ACEITE OLIVA INDALO VID X250;ALMACEN;ACEITES Y VINAGRES
60163;7798167250026;ARROZ AVATI-I 5/0 SELECTO X1KG;ALMACEN;ARROZ - LEGUMBRES
30518;7798089020127;ARROZ GARRISON 5/0 L/F X1KG;ALMACEN;ARROZ - LEGUMBRES
19306;7795687002401;INFUSION FRAMBUESA X15SAQ;ALMACEN;DESAYUNO
57157;77911018;TURIMAR 3 CAPAS CHOCOL X 24;ALMACEN;GOLOSINAS Y CHOCOLATES
2028;7793704000041;Y/M PLAYADITO X2KG;ALMACEN;DESAYUNO
14118;7798089051022;ACEITE OLIVA INDALO VID X500;ALMACEN;ACEITES Y VINAGRES
75909;77905734;ALF.JORGITO FRUTA X50GRS;ALMACEN;GOLOSINAS Y CHOCOLATES
67334;7798167250040;ARROZ AVATI-I LF 4/0 X1KG;ALMACEN;ARROZ - LEGUMBRES
14395;7798089020110;ARROZ GARRISON 4/0 L/F X1KG;ALMACEN;ARROZ - LEGUMBRES
19307;7795687002418;INFUSION ROSA MOSQUETA 15SAQ;ALMACEN;DESAYUNO
57158;77910080;TURIMAR 3 CAPAS BLANCO X 24;ALMACEN;GOLOSINAS Y CHOCOLATES
23347;7798089051817;ACEITE OLIVA INDALO VID X750;ALMACEN;ACEITES Y VINAGRES
67165;7798167250019;ARROZ AVATI-I L/F 4/0  X5KG;ALMACEN;ARROZ - LEGUMBRES
26185;7795933203224;FRUTILLA BAHIA ENTERA X 520GR;ALMACEN;REPOSTERIA Y POSTRES
76402;758890932993;GRASA CERDO SACHET  X500GR;ALMACEN;ACEITES Y VINAGRES
122;7793594021003;HARINA MAIZ INDELMA X1KG;ALMACEN;HARINAS
19308;7795687600034;INFUSION CALAFATE FRUTAL 15SAQ;ALMACEN;DESAYUNO
18297;7798089020073;POROTO GARRISON NEGRO X400G;ALMACEN;ARROZ - LEGUMBRES
30284;7798089051039;ACEITE OLIVA INDALO LAT X200;ALMACEN;ACEITES Y VINAGRES
76299;7798308960296;COCTEL DE FRUTAS DLT X800G;ALMACEN;CONSERVAS
19309;7795687040007;INFUSION FRUTILLA X 15 SAQ;ALMACEN;DESAYUNO
14030;7798089020011;POROTO NEGRO GARRISON X1KG;ALMACEN;ARROZ - LEGUMBRES
23348;7798089051046;ACEITE OLIVA INDALO LAT X500;ALMACEN;ACEITES Y VINAGRES
51719;7798096030430;LECHE MARCREM E/P ENT.X800G;ALMACEN;DESAYUNO
13991;7798089020028;LENTEJAS GARRISON X400G;ALMACEN;ARROZ - LEGUMBRES
77599;7798419390142;POROTO NEGRO KHUNPAY X1KILO;ALMACEN;ARROZ - LEGUMBRES
30218;7793704000249;Y/M PLAYADITO X250G;ALMACEN;DESAYUNO
14028;7798089020035;ARVEJA PARTIDA GARRISON X400G;ALMACEN;ARROZ - LEGUMBRES
19311;7795687030008;INFUSION MENTA LIMON 15 SAQ;ALMACEN;DESAYUNO
78402;7790847060802;ARROZ D/MAR RISOTO VERDUR X500;ALMACEN;ARROZ - LEGUMBRES
78401;7790847060819;ARROZ D/MAR RISOTO HONGO X500;ALMACEN;ARROZ - LEGUMBRES
78400;7790847060826;ARROZ D/MARCOS RISOT PATA X500;ALMACEN;ARROZ - LEGUMBRES
23349;7798089052616;ACEITE OLIVA INDALO PET X250;ALMACEN;ACEITES Y VINAGRES
4981;7798096030621;DULCE MEMBR.P/REPOST.PUPA 10KG;ALMACEN;REPOSTERIA Y POSTRES
19312;7795687600041;INFUSION SURTIDO 7 SABORES;ALMACEN;DESAYUNO
77596;7798419390050;LENTEJAS KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
14394;7798089020042;MAIZ PISADO GARRISON BCO X400G;ALMACEN;ARROZ - LEGUMBRES
30216;7793704000881;Y/M PLAYADITO S/PALO X500G;ALMACEN;DESAYUNO
23329;7798089052517;ACEITE OLIVA INDALO PET X500;ALMACEN;ACEITES Y VINAGRES
77595;7798419390043;ARVEJAS PARTIDAS KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
7516;6921006028369;CEPILLO DE METAL P/ PERRO;ALMACEN;
19313;0;INFUSION ARANDANOS X15SAQ;ALMACEN;DESAYUNO
18349;7798089020295;MAIZ PISADO COLO GARRISON 400G;ALMACEN;ARROZ - LEGUMBRES
16933;7793704000805;Y/M LIEBIG ORIGINAL X500G;ALMACEN;DESAYUNO
18147;7798089052210;ACEITE OLIVA INDALO PET X2L;ALMACEN;ACEITES Y VINAGRES
59321;7798146130080;ADEREZO BLUE CHEESE TAU DELTA;ALMACEN;ACEITES Y VINAGRES
7515;6986524637868;COMEDERO P/ PERRO;ALMACEN;MASCOTAS
19314;7795687600393;INFUSION HIERBAS AROM. X 15SAQ;ALMACEN;DESAYUNO
77597;7798419390067;LENTEJONES KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
2229;7793704000508;Y/M PLAYADITO HIERBAS X500;ALMACEN;DESAYUNO
15615;7798089051077;ACEITE OLIVA INDALO PET X3L;ALMACEN;ACEITES Y VINAGRES
66824;7790123000010;DURAZNO VIGENTE E/MITAD X820G;ALMACEN;CONSERVAS
19315;7795687600409;INFUSION FRUTOS AZULES X 15SAQ;ALMACEN;DESAYUNO
18348;7798089020066;MAIZ PISINGALLO GARRISON X400G;ALMACEN;ARROZ - LEGUMBRES
78251;7798419390098;MAIZ PISINGALLO KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
78499;7798180830069;NUTRIBON PLUS PERRO CACHO.X1,5;ALMACEN;MASCOTAS
59322;7798146130127;VINAGRETA ITALIANA TAU DELTA;ALMACEN;ACEITES Y VINAGRES
30220;7793704000690;Y/M PLAYADITO TERERE X500G;ALMACEN;DESAYUNO
23350;7798089050131;ACEITE OLIVA GOURMET INT X250;ALMACEN;ACEITES Y VINAGRES
27744;7792860000117;CARAM.LHERITIER COCO X900G;ALMACEN;GOLOSINAS Y CHOCOLATES
59323;7798146130110;HONEY MUSTARD TAU DELTA;ALMACEN;ACEITES Y VINAGRES
19316;7795687600423;INFUSION MANZ/MIEL/CANE 15SAQ;ALMACEN;DESAYUNO
14401;7798089020080;POLENTA COC/RAP GARRISON X500G;ALMACEN;HARINAS
77598;7798419390111;POROTO COLORADO KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
1973;7790573000028;Y/M MATE ROJO ESPECIAL X500;ALMACEN;DESAYUNO
23351;7798089050148;ACEITE OLIVA GOURMET SUAV X250;ALMACEN;ACEITES Y VINAGRES
59671;7798089020165;ARROZ GARRISON L/F 5/0 X500G;ALMACEN;ARROZ - LEGUMBRES
25416;7792860000124;CARAM.LHERITIER LECHE X900G;ALMACEN;GOLOSINAS Y CHOCOLATES
19317;7795687600430;INFUSION MANZ. Y SAUCO 15 SAQ;ALMACEN;DESAYUNO
17698;7798138290105;TABLETA D/LECHE VAVQUITA 400G;ALMACEN;GOLOSINAS Y CHOCOLATES
1972;7790573000011;Y/M MATE ROJO ESPECIAL X1KG;ALMACEN;DESAYUNO
2061;7790411000012;Y/M ROSAMONTE ESPECIAL X1KG;ALMACEN;DESAYUNO
14091;7798089053026;ACEITE OLIVA INDALO INT X500ML;ALMACEN;ACEITES Y VINAGRES
75910;77905758;ALF.JORGITO AZUCARADO X50GRS;ALMACEN;GOLOSINAS Y CHOCOLATES
237;7798079932041;ARROZ CATINI 4/0 X1KG;ALMACEN;ARROZ - LEGUMBRES
23370;7793594020501;HARINA MAIZ INDELMA X500G;ALMACEN;HARINAS
78771;7798419390074;MAIZ PISADO BCO KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
78500;7798180830090;NUTRIBON GATO FRUT.MAR.X500GR;ALMACEN;MASCOTAS
16222;7798089053019;ACEITE OLIVA GOURMET SUAV X500;ALMACEN;ACEITES Y VINAGRES
75911;77905741;ALF.JORGITO NEGRO X55GRS;ALMACEN;GOLOSINAS Y CHOCOLATES
23368;7793594061009;HARINA MAIZ CREMA INDELMA X900;ALMACEN;HARINAS
78772;7798419390081;MAIZ PISADO COL KHUNPAY X400G;ALMACEN;ARROZ - LEGUMBRES
78501;7798180830106;NUTRIBON GATO FRUT.MAR.X1,5K;ALMACEN;MASCOTAS
59324;7798146130158;SALSA DE CIRUELA Y MIEL TAU DE;ALMACEN;CONSERVAS
1974;7790573000110;Y/M MATE ROJO ESPECIAL X2KG;ALMACEN;DESAYUNO
14509;7798089052029;ACEITE OLIVA GOURMET ESP X500;ALMACEN;ACEITES Y VINAGRES
30939;7798092710015;ACEITE UVA OLIVI HNOS X250ML;ALMACEN;ACEITES Y VINAGRES
75912;7790957000156;ALF.JORGITO BLANCO X55GRS;ALMACEN;GOLOSINAS Y CHOCOLATES
232;7798079932058;ARROZ BB CATINI 5/0 X1KG;ALMACEN;ARROZ - LEGUMBRES
64605;7790726000103;MAGDALENAS VAIN DULCYPAS 200GS;ALMACEN;REPOSTERIA Y POSTRES
53719;7798146130172;SALSA DE MARACUYA Y MANGO 480G;ALMACEN;CONSERVAS
28237;7798096030195;TOMATE TRIT.PUPA BOT X950G;ALMACEN;CONSERVAS
23330;7798089050162;ACEITE OLIVA INDALO PREM X250;ALMACEN;ACEITES Y VINAGRES
67335;7798167250064;ARROZ CUAY LF.4/0 X1KG;ALMACEN;ARROZ - LEGUMBRES
19318;7795687060005;INFUSION MOSQUET/CEDRON 15 SAQ;ALMACEN;DESAYUNO
29523;7798110120017;ACEITE OLIVA ILUSTRE X250ML;ALMACEN;ACEITES Y VINAGRES
30286;7798089053002;ACEITE OLIVA INDALO PRE X500;ALMACEN;ACEITES Y VINAGRES
69940;7798167250095;ARROZ AVATI FORTUNA X1KG;ALMACEN;
29941;7798106640017;"AZUCAR LA MUÑECA TIPO ""A"" X1KG";ALMACEN;DESAYUNO
25574;7792860000179;CARAM.LHERITIER CREMITAS X900G;ALMACEN;GOLOSINAS Y CHOCOLATES
69942;7790726000578;MADALENA DULCYPAS MARM. X225G;ALMACEN;REPOSTERIA Y POSTRES
78516;7798180830199;NUTRIBON XQ PERRO ADULTO X8K;ALMACEN;MASCOTAS
66341;7790621000017;Y/M IGUAZU X1KG;ALMACEN;DESAYUNO
26428;7798089056676;ACEITE OLIVA PICUARINO VI X250;ALMACEN;ACEITES Y VINAGRES
69943;7790726000585;MADAL.DULCYPAS C/CHIPS X200;ALMACEN;
19691;7791866003283;MAY.MAYOLIVA D/P X250G;ALMACEN;ACEITES Y VINAGRES
78856;78856;NUTRIBON XQ PERRO ADULTO X20K;ALMACEN;MASCOTAS
26464;7798089056577;ACEITE OLIVA PICUARINO CL X500;ALMACEN;ACEITES Y VINAGRES
65935;7798087510019;"AZUCAR MITAI TIPO ""A"" X1KG";ALMACEN;DESAYUNO
72867;7793385000019;FIDEO NIDO HUEVO CHANUVI X500G;ALMACEN;PASTAS SECAS Y SALSAS
3382;7791866001579;MAY.MAYOLIVA D/P X500G;ALMACEN;ACEITES Y VINAGRES
32138;7795933135051;Salmon Rdo.Natu.AltaMar 24x190;ALMACEN;CONSERVAS
50721;7798096030201;TOMATE TRIT.PUPA LATA X8KG;ALMACEN;CONSERVAS
53028;7798007000057;Y/M SOL Y LLUVIA X500G;ALMACEN;DESAYUNO
26429;7798089050209;ACEITE OLIVA PICUARINO PT X3L;ALMACEN;ACEITES Y VINAGRES
30937;7798134780020;CEDRO AZUL CHOCOLATADA X400G;ALMACEN;DESAYUNO
2126;7790387120363;MATE LISTO TARAGUI X1U;ALMACEN;DESAYUNO
53193;7794244001352;PASTA ACEITU.SEV.REAL VDE X360;ALMACEN;CONSERVAS
1946;7790272000831;ROCIO VEGETAL NATURA X120;ALMACEN;ACEITES Y VINAGRES
51687;7798087170046;STEVIA DULCE POLVO POTE X100G;ALMACEN;DESAYUNO
26430;7798089056546;ACEITE OLIVA PICUARINO GT X500;ALMACEN;ACEITES Y VINAGRES
75276;0;ALMANDOZ PLACA ALUIMINIO 25X35;ALMACEN;CONTADURIA
75279;0;ALMANDOZ PLACA ALUMINIO 25X35;ALMACEN;CONTADURIA
15281;7795643000465;BIZCOCHO CILO GRASA X200G;ALMACEN;DESAYUNO
76547;76547;HARINA 4/0 IDEAL X25KG;ALMACEN;HARINAS
25170;7798087170053;STEVIA DULCE POLVO POTE X200G;ALMACEN;DESAYUNO
2024;7793704000225;Y/M PLAYADITO X1KG;ALMACEN;DESAYUNO
30287;7798089056560;ACEITE OLIVA PICUARINO GO X500;ALMACEN;ACEITES Y VINAGRES
75275;;ALMANDOZ PLACA ALUMINIO 29X46;ALMACEN;CONTADURIA
67711;7798089020813;ALMIDON DE MAIZ CATINI X1K;ALMACEN;HARINAS
14177;7795643000458;BIZCOCHO CILO DULCE X200G;ALMACEN;DESAYUNO
73148;7790726120108;GALL.DULCYPAS MITI MITI X180G;ALMACEN;DESAYUNO
51686;7798087170077;STEVIA DULCE LIQUIDO X100ML;ALMACEN;DESAYUNO
5850;7791273001032;TOMATE NOGAL TRITURADO X8KG;ALMACEN;CONSERVAS
2023;7793704000232;Y/M PLAYADITO X500G;ALMACEN;DESAYUNO
30289;7798089050377;ACETO BALSAMICO INDALO 12X250C;ALMACEN;ACEITES Y VINAGRES
31691;7798079932720;ARROZ PERLAS 4/0 X1KG;ALMACEN;ARROZ - LEGUMBRES
28199;7798087170084;STEVIA DULCE POLVO E/SOB X50U;ALMACEN;DESAYUNO
3739;7791273001025;TOMATE NOGAL TRITURADO X950G;ALMACEN;CONSERVAS
29524;7798110120024;ACEITE OLIVA ILUSTRE X500ML;ALMACEN;ACEITES Y VINAGRES
78518;7798180830281;NUTRIBON XQ GATITOS X1,5K;ALMACEN;MASCOTAS
28224;7798096030850;PURE TOMATE PUPA X 520;ALMACEN;CONSERVAS
64012;7790621000024;Y/M IGUAZU X500GR;ALMACEN;DESAYUNO
75913;77901705;ALF.MAXI JORGELIN BCO X85GR;ALMACEN;GOLOSINAS Y CHOCOLATES
75280;0;ALMANDOZ PLACA ALUMINIO 40X50;ALMACEN;CONTADURIA
95914;77901729;ALF.MAXI JORGELIN NEGRO X85GR;ALMACEN;GOLOSINAS Y CHOCOLATES
18710;0;BAÑO BLANCO REPOST AGUILA X 5K;ALMACEN;REPOSTERIA Y POSTRES
72869;7793385000026;FIDEO NIDO ESPIN.CHANUVI X500G;ALMACEN;PASTAS SECAS Y SALSAS
78517;7798180830359;NUTRIBON XQ GATO ADULTO X1,5K;ALMACEN;MASCOTAS
53027;7798007000064;Y/M SOL Y LLUVIA X1K;ALMACEN;DESAYUNO
27636;7794244000027;ACEITU.SEV.REAL Nº2 SACH X200;ALMACEN;CONSERVAS
30290;7798089050384;ACETO BALSAMICO INDALO 24X250C;ALMACEN;ACEITES Y VINAGRES
18709;0;BAÑO S/AMARGO AGUILA X 5KG;ALMACEN;REPOSTERIA Y POSTRES
28234;7798109680010;PICADILLO CARNE JULIANA X90G;ALMACEN;CONSERVAS
29259;7798096030010;PICADILLO CARNE RENDIBU X90G;ALMACEN;CONSERVAS
59327;7798146130400;ADEREZO TARTARA TAU DELTA;ALMACEN;ACEITES Y VINAGRES
75277;0;ALMANDOZ PLACA ALUMINIO 50X60;ALMACEN;CONTADURIA
121;7793594010502;POLENTA INDELMA RAPIDA X500G;ALMACEN;HARINAS
75278;0;ALMANDOZ PLACA ALUMINIO 55X65;ALMACEN;CONTADURIA
78508;7798180830342;NUTRIBON XQ PERRO CACHORR.X1,5;ALMACEN;MASCOTAS
2078;7790411000029;Y/M ROSAMONTE ESPECIAL X500G;ALMACEN;DESAYUNO
23966;7798073620685;ALF.TINCHO BLANCO X60G;ALMACEN;GOLOSINAS Y CHOCOLATES
23944;7798073620678;ALF.TINCHO NEGRO X60G;ALMACEN;GOLOSINAS Y CHOCOLATES
3905;7793594030500;MAIZ PISADO COL.INDELMA X500G;ALMACEN;ARROZ - LEGUMBRES
67127;7798122380416;BARRA CEREAL NANI CIR/PASAS X1;ALMACEN;DESAYUNO
906;7793913000931;DULCE DE LECHE TREGAR X400G;ALMACEN;DESAYUNO
75914;77901736;ALF.MAXI JORGELIN GLACEA X85GR;ALMACEN;GOLOSINAS Y CHOCOLATES
67129;7798122380393;BARRA CEREAL NANI MANZANA X1;ALMACEN;DESAYUNO
33924;7791273001438;CHOCLO NOGAL ENT.A/DULCE X800G;ALMACEN;CONSERVAS
34158;7790726120023;GALL.DULCYPAS MIEL X200G;ALMACEN;DESAYUNO
67128;7798122380386;BARRA CEREAL NANI DURAZNO X1;ALMACEN;DESAYUNO
72868;7793385000033;FIDEO NIDO MORRO CHANUVI X500G;ALMACEN;PASTAS SECAS Y SALSAS
27637;7794244000034;ACEITU.SEV.REAL VDE Nº00 X200;ALMACEN;CONSERVAS
67130;7798122380409;BARRA CEREAL NANI FRUTILLA X1;ALMACEN;DESAYUNO
31261;7798152600034;CONOPIZZA ALBAHACA 30X1U;ALMACEN;CALDOS, SOPAS, PURES
78252;7798419390159;AVENA ARROLLADA KHUNPAY X400G;ALMACEN;DESAYUNO Y MERIENDA
6459;7798089640035;CHINAS TAHONA X200G;ALMACEN;DESAYUNO
50265;7791273000523;CHOCLO NOGAL AMA DULCE X2125K;ALMACEN;CONSERVAS
76300;7798308962412;DURAZNO AL NAT.TAJADA DLT X800;ALMACEN;CONSERVAS
78253;7798419390166;AVENA INSTANTAN. KHUNPAY X400G;ALMACEN;DESAYUNO Y MERIENDA
52092;7791273001193;CHOCLO AMARILLO CREMOSO NOGAL;ALMACEN;CONSERVAS
58637;7790480000036;Y/M YOLAVI X500GR;ALMACEN;DESAYUNO
76673;7798115941440;HARINA 4/0 ESTRELLA DEL P X1KG;ALMACEN;HARINAS
58860;7791273000813;CHOCLO BCO CREMOSO NOGAL 830G;ALMACEN;CONSERVAS
52091;7791273001117;CHOCLO BCO CREMOSO NOGAL D.350;ALMACEN;CONSERVAS
76672;7798115941426;HARINA 3/0 ESTRELLA DEL P X1KG;ALMACEN;HARINAS
15338;7798089020318;LENTEJONES GARRISON X400G;ALMACEN;ARROZ - LEGUMBRES
76297;7798308961699;MERM.FRUTOS DEL BOSQU DLT X280;ALMACEN;
78770;7798419390227;PAN DULCE KHUNPAY FRUTA X400GR;ALMACEN;REPOSTERIA Y POSTRES
21166;7798096030393;DURAZNO PUPA E/MIT.AMAR.X820;ALMACEN;CONSERVAS
76670;7798115941518;HARINA 3/0 ESTRELLA DEL P 5KG;ALMACEN;HARINAS
3909;7793594040509;MAIZ PISADO BCO INDELMA X500G;ALMACEN;ARROZ - LEGUMBRES
5828;7791273002008;P/MORRON NOGAL ENTEROS X185G;ALMACEN;CONSERVAS
78769;7798419390234;PAN DULCE KHUNPAY CHIP X350GR;ALMACEN;REPOSTERIA Y POSTRES
79377;7790123000041;EXTRACTO TOMATES VIGENTE X150G;ALMACEN;CONSERVAS
76671;7798115941525;HARINA 4/0 ESTRELLA DEL P 5KG;ALMACEN;HARINAS
58859;7791273001049;P/MORRON NOGAL ENTEROS X3KG;ALMACEN;CONSERVAS
34159;7790726120030;GALL.DULCYPAS LIMON X200G;ALMACEN;DESAYUNO
15948;7798089020233;POROTO GARRISON PALLARES X400G;ALMACEN;ARROZ - LEGUMBRES
2016;7790411000043;Y/M ROSAMONTE TRAD.X1KG;ALMACEN;DESAYUNO
58636;7790480000043;Y/M YOLAVI X1KG;ALMACEN;DESAYUNO
5999;7791273001124;P/MORRON NOGAL ENTEROS X780G;ALMACEN;CONSERVAS
29094;7792860000452;CHUP.LHERITIER PELOTITAS X50U;ALMACEN;GOLOSINAS Y CHOCOLATES
3099;7791249009956;MANTECOL MEGA X38G;ALMACEN;GOLOSINAS Y CHOCOLATES
70674;0;POROTOS ALUBIA ESCAB.DLT X300;ALMACEN;
56929;56929;ACEITU.DESCAROZADA Nº0 X2KG;ALMACEN;CONSERVAS
56930;56930;ACEITU.DESCAROZADA Nº1 X2KG;ALMACEN;CONSERVAS
18298;7798089020202;POROTO GARRISON ALUBIA X400GR;ALMACEN;ARROZ - LEGUMBRES
78506;7798180830335;NUTRIBON XQ PERRO ADULT.X1,5;ALMACEN;MASCOTAS
4643;7793522000346;PAN DULCE VALENTE S/FRUTA X400;ALMACEN;REPOSTERIA Y POSTRES
5680;7791273000493;CHAMPIGNON NOGAL LAM X2.84KG;ALMACEN;CONSERVAS
18342;7798089020134;POROTO GARRISON COLORADO X400G;ALMACEN;ARROZ - LEGUMBRES
2019;7790411000050;Y/M ROSAMONTE TRAD.X500G;ALMACEN;DESAYUNO
5525;7791273000547;CHAMPIGNON NOGAL LAMIN X400G;ALMACEN;CONSERVAS
61157;7798056950051;M/C YOLAVI X25G;ALMACEN;DESAYUNO
4060;7793522000209;PAN DULCE VALENTE X700G;ALMACEN;REPOSTERIA Y POSTRES
1978;7790573000561;Y/M MATE ROJO TRAD X500G;ALMACEN;DESAYUNO
75905;7790957000538;ALF.JORGITO GLACEADO X6U;ALMACEN;GOLOSINAS Y CHOCOLATES
22616;7792860000537;CARAM.LHERITIER COCO X450G;ALMACEN;GOLOSINAS Y CHOCOLATES
50264;7791273000486;CHAMPIGNON NOGAL ENT 6X2840K;ALMACEN;CONSERVAS
4312;7793522000216;PAN DULCE VALENTE X500G;ALMACEN;REPOSTERIA Y POSTRES
28590;7790573000141;Y/M MATE ROJO ESPECIAL X250G;ALMACEN;DESAYUNO
75915;7790957000545;ALF.JORGITO NEGRO X6U;ALMACEN;GOLOSINAS Y CHOCOLATES
59312;7798146130547;CAPPUCCINO COFEE SYR TAU DELTA;ALMACEN;DESAYUNO
22617;7792860000544;CARAM.LHERITIER LECHE X450G;ALMACEN;GOLOSINAS Y CHOCOLATES
14576;7790045823360;COPOS SKARCHITOS C/AZUC X3,4KG;ALMACEN;DESAYUNO
75916;7790957000552;ALF.JORGITO FRUTA X6U;ALMACEN;GOLOSINAS Y CHOCOLATES
5826;7791273000417;CHAMPIGNON NOGAL ENTERO X400G;ALMACEN;CONSERVAS
59313;7798146130554;HONEY&LEMON TEA SYRUP TAU DELT;ALMACEN;DESAYUNO
5822;7791273000400;CHAMPIGNON NOGAL ENTERO X850;ALMACEN;CONSERVAS
5880;7791273000738;CHAMPIGNON NOGAL LAMIN X800G;ALMACEN;CONSERVAS
28238;7798096031048;PULPA TOMATE MI PUPA  X520G;ALMACEN;CONSERVAS
52824;7790062000058;DULCE OTITO FRUTILLA FCO X500G;ALMACEN;DESAYUNO
1981;7790573000196;M/C MATE ROJO X25 SAQ;ALMACEN;DESAYUNO
67238;7798089020806;AVENA CATINI EXTRAFINA X400G;ALMACEN;HARINAS
5792;7791273000653;CHAMPIGNON NOGAL ENTERO X280;ALMACEN;CONSERVAS
1977;7790573000165;Y/M MATE ROJO TERERE X500G;ALMACEN;DESAYUNO
1746;7791019171739;AVENA CATINI INSTANTAN X400GR;ALMACEN;HARINAS
66691;7790045000785;COPOS MAIZ GRANIX S/SAL X400;ALMACEN;DESAYUNO
31087;7794244001529;ACEITU.SEV.REAL C/ALMEN X200;ALMACEN;CONSERVAS
1745;7798079932027;AVENA CATINI ARROLLADA X400GR;ALMACEN;HARINAS
19003;7790202000061;SARDINA PENNISI E/TOMATE X160G;ALMACEN;CONSERVAS
31091;7794244000850;ACEITU.SEV.REAL C/ANCHOA X200G;ALMACEN;CONSERVAS
76298;7798308962818;MERM.FRUTOS DEL BOSQU DLT X400;ALMACEN;
64834;7791273001407;PIMENTON COMUN NOGAL D.X75G;ALMACEN;CONSERVAS
29665;7792180004307;ACEITE CAÑUELAS MAIZ X900;ALMACEN;ACEITES Y VINAGRES
29663;7792180004314;ACEITE CAÑUELA MEZCLA X900;ALMACEN;ACEITES Y VINAGRES
86;7798079932010;ALMIDON MANDIOCA CATINI X1KG;ALMACEN;HARINAS
22618;7792860000643;CARAM.LHERITIER BLANCO X450G;ALMACEN;GOLOSINAS Y CHOCOLATES
21706;7794244000065;ACEITU.SEV.REAL VDE SCH X400;ALMACEN;CONSERVAS
165;7798079932096;HARINA MAIZ CATETE CATINI X1KG;ALMACEN;HARINAS
17875;7793522000919;PAN DULCE VALENTE FRUTA X500G;ALMACEN;REPOSTERIA Y POSTRES
75917;7790957000668;BIZCOC C/GRASA JORGITO X200G;ALMACEN;DESAYUNO
54725;77937858;CHOC.HELLO KITTY 40X8G;ALMACEN;GOLOSINAS Y CHOCOLATES
30240;7798112404412;MARINERAS MAITEN C/SAL X180G;ALMACEN;DESAYUNO
33941;7790411000067;Y/M ROSAMONTE X250G;ALMACEN;DESAYUNO
5281;7795184007008;JALEA MEMBRILLO NOEL X454G;ALMACEN;DESAYUNO
54238;7798112404429;MARINERAS MAITEN S/SAL X180G;ALMACEN;DESAYUNO
78510;7798180830328;NUTRIBON XQ RAZA PEQUEÑA X1,5;ALMACEN;MASCOTAS
17876;7793522000056;PAN DULCE VALENTE CHIPS X500G;ALMACEN;REPOSTERIA Y POSTRES
4823;7795184006902;JALEA NOEL NARANJA X454G;ALMACEN;DESAYUNO
26420;7791273000578;ANANA NOGAL E/TROZO X850G;ALMACEN;CONSERVAS
25922;7794244000072;ACEITU.SEV.REAL VDE Nº00 X400;ALMACEN;CONSERVAS
5592;7791273000363;ANANA NOGAL RODAJAS X850G;ALMACEN;CONSERVAS
22627;7792860000728;CARAM.LHERIT MASTICABLE X670G;ALMACEN;GOLOSINAS Y CHOCOLATES
52827;7790062000072;ZAPALLO E/ALMI OTITO FCO X500G;ALMACEN;CONSERVAS
